card,interaction,ability_kind,invariant,message
"Collective Voyage","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Nightsquad Commando","goldilocks_dead_effect","","","effect=create_token abilityKind=triggered filterBase="""": board was set up but nothing changed"
"Minion of the Mighty","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Werewolf Pack Leader","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Pyroclast Consul","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Phage the Untouchable","goldilocks_invariant","","TurnStructure","[lose_game] TurnStructure: active seat 0 is Lost but life is 20 with no LossReason"
"Axavar, Fate Thief","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Soul-Guide Lantern","goldilocks_dead_effect","","","effect=exile abilityKind=triggered filterBase=""card"": board was set up but nothing changed"
"Foot Mystic","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Veteran Guardmouse","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Lord of Tresserhorn","goldilocks_dead_effect","","","effect=modification_effect abilityKind=triggered filterBase="""": board was set up but nothing changed"
"Demonic Hordes","goldilocks_dead_effect","","","effect=destroy abilityKind=activated filterBase=""land"": board was set up but nothing changed"
"Lord Dregg, Insect Invader","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Putrid Pals","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Fraying Omnipotence","goldilocks_dead_effect","","","effect=lose_life abilityKind=static filterBase="""": board was set up but nothing changed"
"Insectoid Exterminator","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Winnower Patrol","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Sensation Gorger","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Heartfire Hero","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Hobgoblin Captain","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Expose the Culprit","goldilocks_unverified","","","effect kind 'turn_face_up' not in verifiable set"
"Flowerfoot Swordmaster","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
