Aang, Airbending Master	Legendary Creature — Human Avatar Ally	W
Aang, Air Nomad	Legendary Creature — Human Avatar Ally	W
Aang, A Lot to Learn	Legendary Creature — Human Avatar Ally	GW
Aang and Katara	Legendary Creature — Human Avatar Ally	GUW
Aang, at the Crossroads // Aang, Destined Savior	Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally	GUW
Aang, Swift Savior // Aang and La, Ocean's Fury	Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Spirit Ally	UW
Aang, the Last Airbender	Legendary Creature — Human Avatar Ally	W
Aatchik, Emerald Radian	Legendary Creature — Insect Druid	BG
Abaddon the Despoiler	Legendary Creature — Astartes Warrior	BRU
Abby, Merciless Soldier	Legendary Creature — Human Survivor	GR
Abdel Adrian, Gorion's Ward	Legendary Creature — Human Warrior	W
Abigale, Eloquent First-Year	Legendary Creature — Bird Bard	BW
Abigale, Poet Laureate // Heroic Stanza	Legendary Creature — Bird Bard // Sorcery	BW
Abomination of Llanowar	Legendary Creature — Elf Horror	BG
Aboshan, Cephalid Emperor	Legendary Creature — Octopus Noble	U
Absolute Virtue	Legendary Creature — Avatar Warrior	UW
Abuelo, Ancestral Echo	Legendary Creature — Spirit	UW
Ace, Fearless Rebel	Legendary Creature — Human Rebel	G
Acererak the Archlich	Legendary Creature — Zombie Wizard	B
Achilles Davenport	Legendary Creature — Human Assassin	BU
Aclazotz, Deepest Betrayal // Temple of the Dead	Legendary Creature — Bat God // Land	B
Acolyte of Bahamut	Legendary Enchantment — Background	G
Acornelia, Fashionable Filcher	Legendary Creature — Squirrel	BG
Adamaro, First to Desire	Legendary Creature — Spirit	R
Adelbert Steiner	Legendary Creature — Human Knight	W
Adeline, Resplendent Cathar	Legendary Creature — Human Knight	W
Adeliz, the Cinder Wind	Legendary Creature — Human Wizard	RU
Adéwalé, Breaker of Chains	Legendary Creature — Human Assassin Pirate	BU
Admiral Beckett Brass	Legendary Creature — Human Pirate	BRU
Admiral Brass, Unsinkable	Legendary Creature — Human Pirate	BRU
Adrestia	Legendary Artifact — Vehicle	
Adriana, Captain of the Guard	Legendary Creature — Human Knight	RW
Adric, Mathematical Genius	Legendary Creature — Human Artificer	U
Adrix and Nev, Twincasters	Legendary Creature — Merfolk Wizard	GU
Adun Oakenshield	Legendary Creature — Human Knight	BGR
Aegar, the Freezing Flame	Legendary Creature — Giant Wizard	RU
Aerith Gainsborough	Legendary Creature — Human Cleric	W
Aerith, Last Ancient	Legendary Creature — Human Cleric Druid	GW
Aesi, Tyrant of Gyre Strait	Legendary Creature — Serpent	GU
Aeve, Progenitor Ooze	Legendary Creature — Ooze	G
Agatha of the Vile Cauldron	Legendary Creature — Human Warlock	GR
Agent Bishop, Man in Black	Legendary Creature — Human Soldier	W
Agent Frank Horrigan	Legendary Creature — Mutant Warrior	BG
Agent of the Iron Throne	Legendary Enchantment — Background	B
Agent of the Shadow Thieves	Legendary Enchantment — Background	B
Agent Venom	Legendary Creature — Symbiote Soldier Hero	B
Agrus Kos, Eternal Soldier	Legendary Creature — Spirit Soldier	RW
Agrus Kos, Spirit of Justice	Legendary Creature — Spirit Detective	RW
Agrus Kos, Wojek Veteran	Legendary Creature — Human Soldier	RW
Aisha of Sparks and Smoke	Legendary Creature — Human Warrior	RW
Ajani, Nacatl Pariah // Ajani, Nacatl Avenger	Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani	RW
Akal Pakal, First Among Equals	Legendary Creature — Human Advisor	U
Akawalli, the Seething Tower	Legendary Creature — Fungus	BG
Akim, the Soaring Wind	Legendary Creature — Bird Dinosaur	RUW
Akiri, Fearless Voyager	Legendary Creature — Kor Warrior	RW
Akiri, Line-Slinger	Legendary Creature — Kor Soldier Ally	RW
Akroma, Angel of Fury	Legendary Creature — Angel	R
Akroma, Angel of Wrath	Legendary Creature — Angel	W
Akroma, Vision of Ixidor	Legendary Creature — Angel	W
Akul the Unrepentant	Legendary Creature — Scorpion Dragon Rogue	BR
Akuta, Born of Ash	Legendary Creature — Spirit	B
Alandra, Sky Dreamer	Legendary Creature — Merfolk Wizard	U
Alania, Divergent Storm	Legendary Creature — Otter Wizard	RU
Alaundo the Seer	Legendary Creature — Human Shaman	GU
Alela, Artful Provocateur	Legendary Creature — Faerie Warlock	BUW
Alela, Cunning Conqueror	Legendary Creature — Faerie Warlock	BU
Alena, Kessig Trapper	Legendary Creature — Human Scout	R
Alesha, Who Laughs at Fate	Legendary Creature — Human Warrior	BR
Alesha, Who Smiles at Death	Legendary Creature — Human Warrior	BRW
Alexander Clamilton	Legendary Creature — Clamfolk Advisor Rebel	RU
Alexios, Deimos of Kosmos	Legendary Creature — Human Berserker	R
Alexi, Zephyr Mage	Legendary Creature — Human Spellshaper	U
Alhammarret, High Arbiter	Legendary Creature — Sphinx	U
Alharu, Solemn Ritualist	Legendary Creature — Human Monk	W
Alibou, Ancient Witness	Legendary Artifact Creature — Golem	RW
Alirios, Enraptured	Legendary Creature — Human	U
Alisaie Leveilleur	Legendary Creature — Elf Wizard	W
Alistair, the Brigadier	Legendary Creature — Human Soldier	GUW
Alora, Merry Thief	Legendary Creature — Halfling Rogue	U
Aloy, Savior of Meridian	Legendary Creature — Human Warrior	GU
Alpharael, Dreaming Acolyte	Legendary Creature — Human Cleric	BU
Alpharael, Stonechosen	Legendary Creature — Human Cleric	B
Alphinaud Leveilleur	Legendary Creature — Elf Wizard	U
Alquist Proft, Master Sleuth	Legendary Creature — Human Detective	UW
Alrund, God of the Cosmos // Hakka, Whispering Raven	Legendary Creature — God // Legendary Creature — Bird	U
Altaïr Ibn-La'Ahad	Legendary Creature — Human Assassin	BRW
Altanak, the Thrice-Called	Legendary Creature — Insect Beast	G
Amalia Benavides Aguirre	Legendary Creature — Vampire Scout	BW
Amarant Coral	Legendary Creature — Human Monk	GR
Amareth, the Lustrous	Legendary Creature — Dragon	GUW
Ambassador Blorpityblorpboop	Legendary Creature — Alien Advisor Guest	GU
Ambassador Laquatus	Legendary Creature — Merfolk Wizard	U
Amber Gristle O'Maul	Legendary Creature — Dwarf Cleric	R
Ambrosia Whiteheart	Legendary Creature — Bird	W
Aminatou, the Fateshifter	Legendary Planeswalker — Aminatou	BUW
Aminatou, Veil Piercer	Legendary Creature — Human Wizard	BUW
Amy Pond	Legendary Creature — Human	R
Amy Rose	Legendary Creature — Hedgehog Warrior	RW
Amzu, Swarm's Hunger	Legendary Creature — Insect Shaman	BG
Anafenza, Kin-Tree Spirit	Legendary Creature — Spirit Soldier	W
Anafenza, the Foremost	Legendary Creature — Human Soldier	BGW
Anafenza, Unyielding Lineage	Legendary Creature — Spirit Soldier	W
Anara, Wolvid Familiar	Legendary Creature — Wolf Beast	G
Anax and Cymede	Legendary Creature — Human Soldier	RW
Anax, Hardened in the Forge	Legendary Enchantment Creature — Demigod	R
Anep, Vizier of Hazoret	Legendary Creature — Jackal Warrior	R
Angelic Harold	Legendary Creature — Angel Performer	UW
Angus Mackenzie	Legendary Creature — Human Cleric	GUW
Anhelo, the Painter	Legendary Creature — Vampire Assassin	BRU
Anikthea, Hand of Erebos	Legendary Enchantment Creature — Demigod	BGW
Animar, Soul of Elements	Legendary Creature — Elemental	GRU
Anim Pakal, Thousandth Moon	Legendary Creature — Human Soldier	RW
Anje Falkenrath	Legendary Creature — Vampire	BR
Anje, Maid of Dishonor	Legendary Creature — Vampire	BR
Annie Flash, the Veteran	Legendary Creature — Human Rogue	GRW
Anowon, the Ruin Sage	Legendary Creature — Vampire Shaman	B
Anowon, the Ruin Thief	Legendary Creature — Vampire Rogue	BU
Anrakyr the Traveller	Legendary Artifact Creature — Necron	B
Anthousa, Setessan Hero	Legendary Creature — Human Warrior	G
Anti-Venom, Horrifying Healer	Legendary Creature — Symbiote Hero	W
Anya, Merciless Angel	Legendary Creature — Angel	RW
Anzrag, the Quake-Mole	Legendary Creature — Mole God	GR
Ao, the Dawn Sky	Legendary Creature — Dragon Spirit	W
Aphelia, Viper Whisperer	Legendary Creature — Gorgon Assassin	BG
Aphemia, the Cacophony	Legendary Enchantment Creature — Harpy	B
Apothecary White	Legendary Creature — Human Cleric	W
Appa, Aang's Companion	Legendary Creature — Bison Ally	W
Appa, Loyal Sky Bison	Legendary Creature — Bison Ally	W
Appa, Steadfast Guardian	Legendary Creature — Bison Ally	W
Appa, the Vigilant	Legendary Creature — Bison Ally	W
April O'Neil, Hacktivist	Legendary Creature — Human Scientist	U
