card,interaction,ability_kind,invariant,message
"Wei Strike Force","goldilocks_keyword_dead","","","keyword=horsemanship: board was set up but nothing changed"
"Carnage Wurm","goldilocks_keyword_dead","","","keyword=bloodthirst: board was set up but nothing changed"
"Carnage Wurm","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Boros Recruit","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Dairy Cow","goldilocks_keyword_dead","","","keyword=grazing type: board was set up but nothing changed"
"Storm Crow","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Collective Voyage","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Soul of the Rapids","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Soul of the Rapids","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Aven Squire","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Aven Squire","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Zodiac Goat","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Rhox Maulers","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Rhox Maulers","goldilocks_keyword_dead","","","keyword=renown: board was set up but nothing changed"
"Zendikar Farguide","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Valeron Outlander","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Roc of Kher Ridges","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Goring Warplow","goldilocks_keyword_dead","","","keyword=prototype: board was set up but nothing changed"
"Goring Warplow","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Contagious Nim","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Coast Watcher","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Coast Watcher","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Mountain Goat","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Arcbound Wanderer","goldilocks_keyword_dead","","","keyword=modular-sunburst: board was set up but nothing changed"
"Vernadi Shieldmate","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Yavimaya Barbarian","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Rime Dryad","goldilocks_keyword_dead","","","keyword=snow forestwalk: board was set up but nothing changed"
"Plague Stinger","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Plague Stinger","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Zodiac Rabbit","goldilocks_keyword_dead","","","keyword=forestwalk: board was set up but nothing changed"
"Charging Badger","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Nightsquad Commando","goldilocks_dead_effect","","","effect=create_token abilityKind=triggered filterBase="""": board was set up but nothing changed"
"Goblin Spelunkers","goldilocks_keyword_dead","","","keyword=mountainwalk: board was set up but nothing changed"
"Minion of the Mighty","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Swooping Lookout","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Swooping Lookout","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Blood Glutton","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Tithe Drinker","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Tithe Drinker","goldilocks_keyword_dead","","","keyword=extort: board was set up but nothing changed"
"Maelstrom Colossus","goldilocks_keyword_dead","","","keyword=cascade: board was set up but nothing changed"
"Rakdos Drake","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Rakdos Drake","goldilocks_keyword_dead","","","keyword=unleash: board was set up but nothing changed"
"Tyrranax Atrocity","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Tyrranax Atrocity","goldilocks_keyword_dead","","","keyword=toxic: board was set up but nothing changed"
"Werewolf Pack Leader","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Hammer Dropper","goldilocks_keyword_dead","","","keyword=mentor: board was set up but nothing changed"
"Azorius First-Wing","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Azorius First-Wing","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Colossal Dreadmaw","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Pyroclast Consul","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Skybox Ferry","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Deputized Protester","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Deputized Protester","goldilocks_keyword_dead","","","keyword=melee: board was set up but nothing changed"
"Nimble-Blade Khenra","goldilocks_keyword_dead","","","keyword=prowess: board was set up but nothing changed"
"Stalwart Aven","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Stalwart Aven","goldilocks_keyword_dead","","","keyword=renown: board was set up but nothing changed"
"Dread","goldilocks_invariant","","CardIdentity","[destroy] CardIdentity: card ""Dread"" (ptr 0xc0090ef0e0) appears in both seat 0 library and seat 0 graveyard"
"Pale Bears","goldilocks_keyword_dead","","","keyword=islandwalk: board was set up but nothing changed"
"Keen-Eyed Archers","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Grappler Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Healer's Flock","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Healer's Flock","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Monoist Sentry","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Surging Sentinels","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Surging Sentinels","goldilocks_keyword_dead","","","keyword=ripple: board was set up but nothing changed"
"Wasteland Scorpion","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Chardalyn Dragon","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Benalish Cavalry","goldilocks_keyword_dead","","","keyword=flanking: board was set up but nothing changed"
"Skyhunter Skirmisher","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Skyhunter Skirmisher","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Steadfast Guard","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Gifted Aetherborn","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Gifted Aetherborn","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Whirlwind Adept","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Whirlwind Adept","goldilocks_keyword_dead","","","keyword=prowess: board was set up but nothing changed"
"Trapjaw Kelpie","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Krenko's Enforcer","goldilocks_keyword_dead","","","keyword=intimidate: board was set up but nothing changed"
"Stormcloud Spirit","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Terrus Wurm","goldilocks_keyword_dead","","","keyword=scavenge: board was set up but nothing changed"
"Baneslayer Angel","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Baneslayer Angel","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Baneslayer Angel","goldilocks_keyword_dead","","","keyword=lifelink: board was set up but nothing changed"
"Baneslayer Angel","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Accursed Spirit","goldilocks_keyword_dead","","","keyword=intimidate: board was set up but nothing changed"
"Shambleshark","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Cached Defenses","goldilocks_keyword_dead","","","keyword=bolster: board was set up but nothing changed"
"Giant Warthog","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Roc Hunter","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Mtenda Herder","goldilocks_keyword_dead","","","keyword=flanking: board was set up but nothing changed"
"Alert Shu Infantry","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Charging Binox","goldilocks_keyword_dead","","","keyword=assist: board was set up but nothing changed"
"Charging Binox","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Sunspire Griffin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Soul Summons","goldilocks_keyword_dead","","","keyword=manifest: board was set up but nothing changed"
"Kederekt Creeper","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Kederekt Creeper","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Nezumi Ronin","goldilocks_keyword_dead","","","keyword=bushido: board was set up but nothing changed"
"Deathgaze Cockatrice","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Deathgaze Cockatrice","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Pincher Beetles","goldilocks_keyword_dead","","","keyword=shroud: board was set up but nothing changed"
"Skyswirl Harrier","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Shu General","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Shu General","goldilocks_keyword_dead","","","keyword=horsemanship: board was set up but nothing changed"
"Hundred-Talon Kami","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Hundred-Talon Kami","goldilocks_keyword_dead","","","keyword=soulshift: board was set up but nothing changed"
"Lumengrid Gargoyle","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Misshapen Fiend","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Goblin Wardriver","goldilocks_keyword_dead","","","keyword=battle cry: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=first strike: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Akroma, Angel of Wrath","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Knight of Glory","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Knight of Glory","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Shady Traveler // Stalking Predator","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Shady Traveler // Stalking Predator","goldilocks_keyword_dead","","","keyword=daybound: board was set up but nothing changed"
"Swarm, Being of Bees","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Shady Traveler // Stalking Predator","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Swarm, Being of Bees","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Swarm, Being of Bees","goldilocks_keyword_dead","","","keyword=mayhem: board was set up but nothing changed"
"Shady Traveler // Stalking Predator","goldilocks_keyword_dead","","","keyword=nightbound: board was set up but nothing changed"
"Winged Coatl","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Winged Coatl","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Waveskimmer Aven","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Winged Coatl","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Waveskimmer Aven","goldilocks_keyword_dead","","","keyword=exalted: board was set up but nothing changed"
"Harbinger of Spring","goldilocks_keyword_dead","","","keyword=protection: board was set up but nothing changed"
"Harbinger of Spring","goldilocks_keyword_dead","","","keyword=soulshift: board was set up but nothing changed"
"Soulbound Guardians","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Soulbound Guardians","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Zephyr Sprite","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Wayward Giant","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Dromoka's Gift","goldilocks_keyword_dead","","","keyword=bolster: board was set up but nothing changed"
"Lightning Stormkin","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Lightning Stormkin","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Wasp Lancer","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Ayumi, the Last Visitor","goldilocks_keyword_dead","","","keyword=legendary landwalk: board was set up but nothing changed"
"Hill Gigas","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Hill Gigas","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Breezekeeper","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Breezekeeper","goldilocks_keyword_dead","","","keyword=phasing: board was set up but nothing changed"
"Dusk Imp","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Kithkin Billyrider","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Deadbridge Goliath","goldilocks_keyword_dead","","","keyword=scavenge: board was set up but nothing changed"
"Jawbone Duelist","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Jawbone Duelist","goldilocks_keyword_dead","","","keyword=toxic: board was set up but nothing changed"
"Plumeveil","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Plumeveil","goldilocks_keyword_dead","","","keyword=defender: board was set up but nothing changed"
"Plumeveil","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Plated Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Gilacorn","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Blackcleave Goblin","goldilocks_keyword_dead","","","keyword=haste: board was set up but nothing changed"
"Blackcleave Goblin","goldilocks_keyword_dead","","","keyword=infect: board was set up but nothing changed"
"Avenger of the Fallen","goldilocks_keyword_dead","","","keyword=deathtouch: board was set up but nothing changed"
"Avenger of the Fallen","goldilocks_keyword_dead","","","keyword=mobilize: board was set up but nothing changed"
"Azure Drake","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Kodama of the North Tree","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Kodama of the North Tree","goldilocks_keyword_dead","","","keyword=shroud: board was set up but nothing changed"
"Saiba Cryptomancer","goldilocks_keyword_dead","","","keyword=flash: board was set up but nothing changed"
"Saiba Cryptomancer","goldilocks_keyword_dead","","","keyword=backup: board was set up but nothing changed"
"Saiba Cryptomancer","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Axavar, Fate Thief","goldilocks_dead_effect","","","effect=ability_word abilityKind=static filterBase="""": board was set up but nothing changed"
"Needlepeak Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Arboretum Elemental","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Arboretum Elemental","goldilocks_keyword_dead","","","keyword=hexproof: board was set up but nothing changed"
"Goliath Spider","goldilocks_keyword_dead","","","keyword=reach: board was set up but nothing changed"
"Hound of Griselbrand","goldilocks_keyword_dead","","","keyword=double strike: board was set up but nothing changed"
"Jade Avenger","goldilocks_keyword_dead","","","keyword=bushido: board was set up but nothing changed"
"Tormented Angel","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Angelic Observer","goldilocks_keyword_dead","","","keyword=affinity for citizens: board was set up but nothing changed"
"Angelic Observer","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Wrecking Beast","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Autochthon Wurm","goldilocks_keyword_dead","","","keyword=convoke: board was set up but nothing changed"
"Autochthon Wurm","goldilocks_keyword_dead","","","keyword=trample: board was set up but nothing changed"
"Air Response Unit","goldilocks_keyword_dead","","","keyword=flying: board was set up but nothing changed"
"Air Response Unit","goldilocks_keyword_dead","","","keyword=vigilance: board was set up but nothing changed"
"Dalek Squadron","goldilocks_keyword_dead","","","keyword=menace: board was set up but nothing changed"
"Dalek Squadron","goldilocks_keyword_dead","","","keyword=myriad: board was set up but nothing changed"
